epoch,train_loss,train_miou,train_mdice,test_loss,test_miou,test_mdice
1,1.1750174192887433,0.12440096586942673,0.14796273410320282,0.7825667734416026,0.14468897879123688,0.16794367134571075
2,0.6905604004859924,0.1750594675540924,0.2086780071258545,0.6164497451962165,0.20360788702964783,0.24203643202781677
3,0.5665553018169583,0.24655340611934662,0.298307865858078,0.5307512463263746,0.28381264209747314,0.3399057686328888
4,0.4912781172765876,0.3108632266521454,0.37222325801849365,0.5027987945754573,0.3308163583278656,0.3965393900871277
5,0.43389625959801226,0.3680967092514038,0.429395854473114,0.4249960262820406,0.375865638256073,0.43624305725097656
6,0.39370626464204966,0.4124699532985687,0.48063862323760986,0.37159627057471367,0.4423336982727051,0.5081281065940857
7,0.3598173808939052,0.4671723544597626,0.5449836254119873,0.3426258541503043,0.494733989238739,0.5706484317779541
8,0.32827345914435835,0.5100508332252502,0.5848965048789978,0.32030156535922355,0.5164704918861389,0.5904902815818787
9,0.3039354218064614,0.5384823083877563,0.6099077463150024,0.2964222661729129,0.5463976860046387,0.6178769469261169
10,0.2862936699727796,0.5587236881256104,0.630056619644165,0.28415430210671333,0.5642879605293274,0.6387184858322144
11,0.2741575078019556,0.5779659152030945,0.6521035432815552,0.27324290601712353,0.5811552405357361,0.6564632654190063
12,0.26411879146998785,0.5980650782585144,0.6771290302276611,0.2611864636529167,0.6045739650726318,0.6870397329330444
13,0.2580175188914785,0.6149317026138306,0.6980133056640625,0.25575143548677554,0.6157311797142029,0.7000414133071899
14,0.25408566504154567,0.6245603561401367,0.7098888754844666,0.2511838056006522,0.6288755536079407,0.7165136933326721
15,0.250335766459411,0.630370020866394,0.7167160511016846,0.24959002969399938,0.6297723054885864,0.7168420553207397
